"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"11","NVDA","英伟达","176.670","+0.430","0.24%","237182143","41859203337","4293081000000","175.060","175.100","355","439","175.770","176.240","178.080","175.180","1.45","-10.58%","1.65","60.091","1.01","-0.16","0.20%","-0.65%","5.78%","0.97%","14.50%","61.11%","49.93%","31.59%","半导体"
"12","BTBT","Bit Digital","3.120","0.000","0.00%","65925197","206351058","1002870092.64","2.970","2.980","600","1250","3.150","3.120","3.210","3.070","3.00","-35.14%","4.49","16.421","20.88","0.00","-0.16%","5.05%","24.30%","14.71%","32.77%","48.57%","2.30%","6.48%","资本市场"
"13","COIN","Coinbase","342.460","-0.670","-0.20%","13272061","4546444083","87991041246.22","329.030","329.240","1","5","342.760","343.130","349.700","337.660","1.39","-66.67%","3.51","36.124","6.46","-0.17","-0.42%","6.01%","14.51%","14.05%","-3.63%","96.90%","103.55%","37.92%","金融数据与证券交易所"
"14","META","Meta Platforms","778.380","-1.870","-0.24%","23696824","18436901303","1955400681310.5","774.000","774.480","120","413","785.890","780.250","790.267","768.671","2.20","-54.97%","2.77","32.622","1.09","-0.05","0.39%","3.02%","3.45%","5.31%","9.84%","35.07%","39.56%","33.25%","互联网内容与信息"
"15","RIOT","Riot Platforms","17.460","-0.050","-0.29%","43344987","772147112","6453620722.8","16.780","16.790","120","460","17.500","17.510","18.240","17.350","1.04","-58.62%","5.08","51.352","12.60","0.09","-0.71%","9.88%","31.38%","42.30%","74.60%","135.63%","141.83%","71.01%","资本市场"
"16","AMD","美国超微公司","157.390","-0.530","-0.34%","55448076","8730712350","255419368211.71","155.700","156.000","111","351","157.380","157.920","159.840","155.900","1.16","-51.95%","2.49","157.389","3.46","-0.11","0.14%","-0.74%","4.14%","-3.86%","9.76%","52.48%","0.41%","30.30%","半导体"
"17","BTCM","BIT Mining","2.850","-0.010","-0.35%","256734","733287","50845222.65","2.700","2.900","50","215","2.910","2.860","2.910","2.810","0.52","-62.26%","3.50","2.850","1.60","0.70","-1.04%","-4.36%","9.20%","-6.56%","43.22%","59.22%","26.11%","13.10%","信息技术服务"
"18","PYPL","PayPal","68.220","-0.300","-0.44%","19774202","1350846998","65175914789.1","68.050","68.110","1","29","68.760","68.520","68.850","67.925","1.66","-93.33%","1.35","17.097","2.08","-0.09","-0.25%","1.99%","-0.06%","0.99%","-6.64%","4.71%","-12.05%","-20.07%","信贷"
"19","CORZ","Core Scientific","16.620","-0.130","-0.78%","13950512","234590966","5075888306.04","16.150","16.240","149","97","16.830","16.750","17.100","16.535","1.24","21.14%","3.37","-4.332","5.02","-0.21","0.15%","4.79%","22.03%","20.52%","35.12%","122.19%","43.15%","18.29%","软件基础设施"
"20","ICG","聪链集团","1.870","-0.020","-1.06%","80402","151035","113297553.49","1.870","2.110","1","100","1.900","1.890","1.931","1.850","0.63","-98.02%","4.26","15.454","0.63","0.48","0.00%","0.54%","5.65%","-4.59%","10.65%","-36.18%","-75.62%","-43.33%","半导体"
"21","MSTR","Strategy","344.750","-4.370","-1.25%","17699698","6081246477","97754878478.25","333.250","333.540","110","11","347.450","349.120","352.920","337.070","1.46","81.82%","4.54","-56.889","6.72","0.12","0.37%","4.02%","2.64%","2.12%","-11.30%","19.12%","138.32%","19.04%","应用软件"
"22","HIVE","HIVE Digital Technologies","3.790","-0.050","-1.30%","30872507","117053434","870185148.37","3.590","3.600","16","3988","3.790","3.840","3.910","3.730","0.63","-99.20%","4.69","-189.500","14.26","-0.60","0.66%","-0.52%","42.48%","62.66%","112.92%","152.67%","21.86%","32.98%","资本市场"
"23","WULF","TeraWulf","10.980","-0.190","-1.70%","54584426","607730877","4479226843.86","10.600","10.650","2400","1201","11.220","11.170","11.440","10.900","1.50","33.30%","4.83","-52.285","18.56","-0.09","-0.99%","2.04%","20.26%","19.48%","188.95%","303.68%","146.19%","93.99%","资本市场"
"24","BITF","Bitfarms","3.120","-0.080","-2.50%","103363808","326405126","1724110792.56","3.020","3.030","4785","5804","3.030","3.200","3.280","3.020","0.63","-9.62%","8.13","-24.000","19.67","-0.35","-0.79%","39.91%","141.86%","153.66%","289.22%","270.24%","53.69%","109.40%","资本市场"
"25","BTDR","Bitdeer Technologies","16.450","-0.470","-2.78%","5882669","97422361","3518373803.7","15.670","15.840","376","10","17.000","16.920","17.050","16.310","0.80","94.82%","4.37","-3.772","5.77","0.06","0.55%","1.86%","33.20%","30.45%","53.17%","79.98%","141.91%","-24.09%","应用软件"
"26","HUT","Hut 8","36.240","-1.140","-3.05%","9566531","348346310","3824332110.72","33.330","35.260","100","20","37.100","37.380","37.620","35.630","1.45","66.67%","5.32","10.882","11.37","-0.04","-1.33%","11.71%","42.79%","69.58%","107.68%","209.22%","217.06%","76.87%","资本市场"
"27","MIGI","Mawson Infrastructure","0.4020","-0.0180","-4.33%","147463","60829","8373879.173","0.3280","0.4330","100","100","0.4110","0.4200","0.4400","0.4010","0.49","0.00%","9.29","-0.155","0.86","-0.28","0.17%","-0.57%","32.14%","-6.39%","-3.90%","-20.46%","-68.12%","-51.77%","资本市场"
"28","XNET","迅雷","7.740","-0.390","-4.80%","833329","6583504","484204593.42","7.600","7.670","1077","28","8.130","8.130","8.250","7.685","0.66","94.93%","6.95","407.368","3.06","0.39","0.00%","2.52%","1.18%","6.76%","85.61%","73.93%","382.24%","288.94%","软件基础设施"
"29","AMBR","Amber International Holding","3.940","-0.210","-5.06%","157376","636330","369110724.5","3.480","4.320","100","100","4.000","4.150","4.230","3.900","1.32","0.00%","7.95","-13.133","0.64","0.63","-0.38%","-4.83%","-1.01%","-19.43%","-63.65%","-67.28%","32.66%","-57.91%","软件基础设施"
"30","CAN","嘉楠科技","0.7780","-0.0420","-5.06%","56039011","43914603","365072116.567","0.7350","0.7500","300","6863","0.8200","0.8200","0.8210","0.7650","2.06","-91.62%","6.77","-0.846","12.88","1.10","-0.51%","-5.58%","10.27%","17.94%","27.15%","-14.52%","-29.87%","-62.03%","计算机硬件"
"31","ELWS","Earlyworks","2.310","-0.220","-8.70%","112585","259003","6965527.8","2.000","3.140","100","100","2.410","2.530","2.430","2.150","0.41","0.00%","11.07","-4.017","10.51","-0.26","0.00%","0.00%","10.00%","-16.61%","20.94%","0.43%","1.60%","-13.16%","应用软件"
