"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"35","MARA","MARA Holdings","18.290","-0.210","-1.14%","62943838","1161544634","6775674625.2","17.550","17.560","530","100","18.500","18.500","18.710","18.260","0.74","68.25%","2.43","10.633","18.65","0.05","-0.25%","12.14%","20.41%","17.92%","22.10%","46.67%","18.38%","9.06%","资本市场"
"36","MSTR","Strategy","344.750","-4.370","-1.25%","17699698","6081246477","97754878478.25","333.210","333.550","3","20","347.450","349.120","352.920","337.070","1.46","-73.91%","4.54","-56.889","6.72","0.12","0.37%","4.02%","2.64%","2.12%","-11.30%","19.12%","138.32%","19.04%","应用软件"
"37","HIVE","HIVE Digital Technologies","3.790","-0.050","-1.30%","30872507","117053434","870185148.37","3.570","3.580","1357","400","3.790","3.840","3.910","3.730","0.63","54.47%","4.69","-189.500","14.26","-0.60","0.66%","-0.52%","42.48%","62.66%","112.92%","152.67%","21.86%","32.98%","资本市场"
"38","GEMI","Gemini Space Station","24.140","-0.340","-1.39%","5847634","139005479","2867423285.66","23.260","23.460","3","775","24.300","24.480","24.620","23.170","0.39","-99.23%","5.92","-18.082","35.09","0.18","-1.39%","-24.56%","-13.79%","-13.79%","-13.79%","-13.79%","-13.79%","-13.79%","资本市场"
"39","WULF","TeraWulf","10.980","-0.190","-1.70%","54584426","607730877","4479226843.86","10.590","10.610","1145","1200","11.220","11.170","11.440","10.900","1.50","-2.35%","4.83","-52.285","18.56","-0.09","-0.99%","2.04%","20.26%","19.48%","188.95%","303.68%","146.19%","93.99%","资本市场"
"40","GPUS","Hyperscale Data","0.5260","-0.0120","-2.21%","42771920","23306091","16907981.752","0.5250","0.5600","100","2500","0.5700","0.5380","0.5750","0.5110","0.44","-92.31%","11.86","-0.053","158.06","0.25","-1.00%","42.16%","19.79%","-9.25%","-60.45%","-78.44%","-92.91%","-89.18%","航空航天与国防"
"41","BITF","Bitfarms","3.120","-0.080","-2.50%","103363808","326405126","1724110792.56","3.020","3.030","7661","4709","3.030","3.200","3.280","3.020","0.63","23.86%","8.13","-24.000","19.67","-0.35","-0.79%","39.91%","141.86%","153.66%","289.22%","270.24%","53.69%","109.40%","资本市场"
"42","BTCS","BTCS Inc","4.780","-0.130","-2.65%","4865741","23089523","229692278.84","4.450","4.470","220","170","4.830","4.910","4.890","4.570","1.88","12.82%","6.52","-59.750","11.91","-0.10","1.03%","-0.21%","13.54%","10.90%","117.27%","206.41%","298.33%","93.52%","资本市场"
"43","EQ","Equillium","1.460","-0.040","-2.67%","1167725","1716313","86874705.58","1.440","1.750","27","100","1.530","1.500","1.580","1.435","1.40","-57.48%","9.67","-6.347","2.77","-1.38","-1.35%","-21.93%","-23.56%","-6.41%","337.39%","260.14%","67.82%","95.13%","生物技术"
"44","BTDR","Bitdeer Technologies","16.450","-0.470","-2.78%","5882669","97422361","3518373803.7","15.660","15.840","125","10","17.000","16.920","17.050","16.310","0.80","85.19%","4.37","-3.772","5.77","0.06","0.55%","1.86%","33.20%","30.45%","53.17%","79.98%","141.91%","-24.09%","应用软件"
